"","id","activity"
"1",1,5
"2",1,5
"3",1,5
"4",1,5
"5",1,5
"6",1,5
"7",1,5
"8",1,5
"9",1,5
"10",1,5
"11",1,5
"12",1,5
"13",1,5
"14",1,5
"15",1,5
"16",1,5
"17",1,5
"18",1,5
"19",1,5
"20",1,5
"21",1,5
"22",1,5
"23",1,5
"24",1,5
"25",1,5
"26",1,5
"27",1,5
"28",1,4
"29",1,4
"30",1,4
"31",1,4
"32",1,4
"33",1,4
"34",1,4
"35",1,4
"36",1,4
"37",1,4
"38",1,4
"39",1,4
"40",1,4
"41",1,4
"42",1,4
"43",1,4
"44",1,4
"45",1,4
"46",1,4
"47",1,4
"48",1,4
"49",1,4
"50",1,4
"51",1,4
"52",1,6
"53",1,6
"54",1,6
"55",1,6
"56",1,6
"57",1,6
"58",1,6
"59",1,6
"60",1,6
"61",1,6
"62",1,6
"63",1,6
"64",1,6
"65",1,6
"66",1,6
"67",1,6
"68",1,6
"69",1,6
"70",1,6
"71",1,6
"72",1,6
"73",1,6
"74",1,6
"75",1,6
"76",1,6
"77",1,6
"78",1,6
"79",1,1
"80",1,1
"81",1,1
"82",1,1
"83",1,1
"84",1,1
"85",1,1
"86",1,1
"87",1,1
"88",1,1
"89",1,1
"90",1,1
"91",1,1
"92",1,1
"93",1,1
"94",1,1
"95",1,1
"96",1,1
"97",1,1
"98",1,1
"99",1,1
"100",1,1
"101",1,1
"102",1,1
"103",1,1
"104",1,1
"105",1,1
"106",1,1
"107",1,1
"108",1,1
"109",1,1
"110",1,1
"111",1,1
"112",1,1
"113",1,1
"114",1,1
"115",1,1
"116",1,1
"117",1,1
"118",1,1
"119",1,1
"120",1,1
"121",1,1
"122",1,1
"123",1,1
"124",1,1
"125",1,1
"126",1,3
"127",1,3
"128",1,3
"129",1,3
"130",1,3
"131",1,3
"132",1,3
"133",1,3
"134",1,3
"135",1,3
"136",1,3
"137",1,3
"138",1,3
"139",1,3
"140",1,3
"141",1,3
"142",1,3
"143",1,3
"144",1,3
"145",1,3
"146",1,3
"147",1,3
"148",1,3
"149",1,3
"150",1,3
"151",1,2
"152",1,2
"153",1,2
"154",1,2
"155",1,2
"156",1,2
"157",1,2
"158",1,2
"159",1,2
"160",1,2
"161",1,2
"162",1,2
"163",1,2
"164",1,2
"165",1,2
"166",1,2
"167",1,2
"168",1,2
"169",1,2
"170",1,2
"171",1,2
"172",1,2
"173",1,2
"174",1,2
"175",1,2
"176",1,2
"177",1,5
"178",1,5
"179",1,5
"180",1,5
"181",1,5
"182",1,5
"183",1,5
"184",1,5
"185",1,5
"186",1,5
"187",1,5
"188",1,5
"189",1,5
"190",1,5
"191",1,5
"192",1,5
"193",1,5
"194",1,5
"195",1,5
"196",1,5
"197",1,5
"198",1,5
"199",1,5
"200",1,5
"201",1,5
"202",1,5
"203",1,4
"204",1,4
"205",1,4
"206",1,4
"207",1,4
"208",1,4
"209",1,4
"210",1,4
"211",1,4
"212",1,4
"213",1,4
"214",1,6
"215",1,6
"216",1,6
"217",1,6
"218",1,6
"219",1,6
"220",1,6
"221",1,6
"222",1,6
"223",1,6
"224",1,6
"225",1,6
"226",1,4
"227",1,4
"228",1,4
"229",1,4
"230",1,4
"231",1,4
"232",1,4
"233",1,4
"234",1,4
"235",1,4
"236",1,4
"237",1,4
"238",1,6
"239",1,6
"240",1,6
"241",1,6
"242",1,6
"243",1,6
"244",1,6
"245",1,6
"246",1,6
"247",1,6
"248",1,6
"249",1,1
"250",1,1
"251",1,1
"252",1,1
"253",1,1
"254",1,1
"255",1,1
"256",1,1
"257",1,1
"258",1,1
"259",1,1
"260",1,1
"261",1,1
"262",1,1
"263",1,1
"264",1,1
"265",1,1
"266",1,1
"267",1,1
"268",1,1
"269",1,1
"270",1,1
"271",1,1
"272",1,1
"273",1,1
"274",1,1
"275",1,1
"276",1,1
"277",1,1
"278",1,1
"279",1,1
"280",1,1
"281",1,1
"282",1,1
"283",1,1
"284",1,1
"285",1,1
"286",1,1
"287",1,1
"288",1,1
"289",1,1
"290",1,1
"291",1,1
"292",1,1
"293",1,1
"294",1,1
"295",1,1
"296",1,1
"297",1,3
"298",1,3
"299",1,3
"300",1,3
"301",1,3
"302",1,3
"303",1,3
"304",1,2
"305",1,2
"306",1,2
"307",1,2
"308",1,2
"309",1,2
"310",1,2
"311",1,2
"312",1,2
"313",1,2
"314",1,2
"315",1,2
"316",1,2
"317",1,2
"318",1,2
