"","id","activity"
"1",1,"STANDING"
"2",1,"STANDING"
"3",1,"STANDING"
"4",1,"STANDING"
"5",1,"STANDING"
"6",1,"STANDING"
"7",1,"STANDING"
"8",1,"STANDING"
"9",1,"STANDING"
"10",1,"STANDING"
"11",1,"STANDING"
"12",1,"STANDING"
"13",1,"STANDING"
"14",1,"STANDING"
"15",1,"STANDING"
"16",1,"STANDING"
"17",1,"STANDING"
"18",1,"STANDING"
"19",1,"STANDING"
"20",1,"STANDING"
"21",1,"STANDING"
"22",1,"STANDING"
"23",1,"STANDING"
"24",1,"STANDING"
"25",1,"STANDING"
"26",1,"STANDING"
"27",1,"STANDING"
"28",1,"SITTING"
"29",1,"SITTING"
"30",1,"SITTING"
"31",1,"SITTING"
"32",1,"SITTING"
"33",1,"SITTING"
"34",1,"SITTING"
"35",1,"SITTING"
"36",1,"SITTING"
"37",1,"SITTING"
"38",1,"SITTING"
"39",1,"SITTING"
"40",1,"SITTING"
"41",1,"SITTING"
"42",1,"SITTING"
"43",1,"SITTING"
"44",1,"SITTING"
"45",1,"SITTING"
"46",1,"SITTING"
"47",1,"SITTING"
"48",1,"SITTING"
"49",1,"SITTING"
"50",1,"SITTING"
"51",1,"SITTING"
"52",1,"LAYING"
"53",1,"LAYING"
"54",1,"LAYING"
"55",1,"LAYING"
"56",1,"LAYING"
"57",1,"LAYING"
"58",1,"LAYING"
"59",1,"LAYING"
"60",1,"LAYING"
"61",1,"LAYING"
"62",1,"LAYING"
"63",1,"LAYING"
"64",1,"LAYING"
"65",1,"LAYING"
"66",1,"LAYING"
"67",1,"LAYING"
"68",1,"LAYING"
"69",1,"LAYING"
"70",1,"LAYING"
"71",1,"LAYING"
"72",1,"LAYING"
"73",1,"LAYING"
"74",1,"LAYING"
"75",1,"LAYING"
"76",1,"LAYING"
"77",1,"LAYING"
"78",1,"LAYING"
"79",1,"WALKING"
"80",1,"WALKING"
"81",1,"WALKING"
"82",1,"WALKING"
"83",1,"WALKING"
"84",1,"WALKING"
"85",1,"WALKING"
"86",1,"WALKING"
"87",1,"WALKING"
"88",1,"WALKING"
"89",1,"WALKING"
"90",1,"WALKING"
"91",1,"WALKING"
"92",1,"WALKING"
"93",1,"WALKING"
"94",1,"WALKING"
"95",1,"WALKING"
"96",1,"WALKING"
"97",1,"WALKING"
"98",1,"WALKING"
"99",1,"WALKING"
"100",1,"WALKING"
"101",1,"WALKING"
"102",1,"WALKING"
"103",1,"WALKING"
"104",1,"WALKING"
"105",1,"WALKING"
"106",1,"WALKING"
"107",1,"WALKING"
"108",1,"WALKING"
"109",1,"WALKING"
"110",1,"WALKING"
"111",1,"WALKING"
"112",1,"WALKING"
"113",1,"WALKING"
"114",1,"WALKING"
"115",1,"WALKING"
"116",1,"WALKING"
"117",1,"WALKING"
"118",1,"WALKING"
"119",1,"WALKING"
"120",1,"WALKING"
"121",1,"WALKING"
"122",1,"WALKING"
"123",1,"WALKING"
"124",1,"WALKING"
"125",1,"WALKING"
"126",1,"WALKING_DOWNSTAIRS"
"127",1,"WALKING_DOWNSTAIRS"
"128",1,"WALKING_DOWNSTAIRS"
"129",1,"WALKING_DOWNSTAIRS"
"130",1,"WALKING_DOWNSTAIRS"
"131",1,"WALKING_DOWNSTAIRS"
"132",1,"WALKING_DOWNSTAIRS"
"133",1,"WALKING_DOWNSTAIRS"
"134",1,"WALKING_DOWNSTAIRS"
"135",1,"WALKING_DOWNSTAIRS"
"136",1,"WALKING_DOWNSTAIRS"
"137",1,"WALKING_DOWNSTAIRS"
"138",1,"WALKING_DOWNSTAIRS"
"139",1,"WALKING_DOWNSTAIRS"
"140",1,"WALKING_DOWNSTAIRS"
"141",1,"WALKING_DOWNSTAIRS"
"142",1,"WALKING_DOWNSTAIRS"
"143",1,"WALKING_DOWNSTAIRS"
"144",1,"WALKING_DOWNSTAIRS"
"145",1,"WALKING_DOWNSTAIRS"
"146",1,"WALKING_DOWNSTAIRS"
"147",1,"WALKING_DOWNSTAIRS"
"148",1,"WALKING_DOWNSTAIRS"
"149",1,"WALKING_DOWNSTAIRS"
"150",1,"WALKING_DOWNSTAIRS"
"151",1,"WALKING_UPSTAIRS"
"152",1,"WALKING_UPSTAIRS"
"153",1,"WALKING_UPSTAIRS"
"154",1,"WALKING_UPSTAIRS"
"155",1,"WALKING_UPSTAIRS"
"156",1,"WALKING_UPSTAIRS"
"157",1,"WALKING_UPSTAIRS"
"158",1,"WALKING_UPSTAIRS"
"159",1,"WALKING_UPSTAIRS"
"160",1,"WALKING_UPSTAIRS"
"161",1,"WALKING_UPSTAIRS"
"162",1,"WALKING_UPSTAIRS"
"163",1,"WALKING_UPSTAIRS"
"164",1,"WALKING_UPSTAIRS"
"165",1,"WALKING_UPSTAIRS"
"166",1,"WALKING_UPSTAIRS"
"167",1,"WALKING_UPSTAIRS"
"168",1,"WALKING_UPSTAIRS"
"169",1,"WALKING_UPSTAIRS"
"170",1,"WALKING_UPSTAIRS"
"171",1,"WALKING_UPSTAIRS"
"172",1,"WALKING_UPSTAIRS"
"173",1,"WALKING_UPSTAIRS"
"174",1,"WALKING_UPSTAIRS"
"175",1,"WALKING_UPSTAIRS"
"176",1,"WALKING_UPSTAIRS"
"177",1,"STANDING"
"178",1,"STANDING"
"179",1,"STANDING"
"180",1,"STANDING"
"181",1,"STANDING"
"182",1,"STANDING"
"183",1,"STANDING"
"184",1,"STANDING"
